key,school,lat,lng
143,市立羅浮國小,24.7972829,121.3649359
144,市立巴崚國小,24.6854798,121.3972387
145,縣立竹東國小,24.7356205,121.0882209
146,大同國小,24.7403014,121.0884039
147,縣立尖石國小,24.7282877,121.2253769
148,縣立嘉興國小,24.7051821,121.2105623
149,縣立新樂國小,24.731587,121.2506474
150,縣立梅花國小,24.6775901,121.2088282
151,縣立錦屏國小,24.680324,121.247229
152,縣立玉峰國小,24.6600107,121.3013028
153,縣立石磊國小,24.6556578,121.3264284
154,縣立秀巒國小,24.5803701,121.3032402
155,縣立新光國小,24.5799355,121.3032009
156,縣立五峰國小,24.631476,121.118064
157,縣立桃山國小,24.575383,121.105812
158,縣立花園國小,24.6482711,121.1514399
159,縣立上館國小,24.7261192,121.088092
160,縣立南庄國小,24.600459,120.9992731
161,泰興國小,24.3943266,120.9206005
162,縣立清安國小,24.4400536,120.9260528
163,汶水國小,24.4657987,120.940123
164,縣立象鼻國小,24.3591997,120.9472864
165,縣立梅園國小,24.3886093,120.9669477
166,縣立士林國小,24.3477111,120.9302056
167,市立和平區和平國小,24.1711472,120.895757
168,市立白冷國小,24.1820599,120.9265212
169,市立博屋瑪國小,24.3163206,120.9991032
170,市立平等國小,24.3178634,121.2944249
171,市立博愛國小,24.1771216,120.9797331
172,市立自由國小,24.2917102,120.9086741
173,縣立親愛國小,23.9682604,121.1090048
174,縣立力行國小,24.147464,121.189027
175,縣立發祥國小,24.122492,121.1571921
176,縣立紅葉國小,24.1596636,121.1771746
177,市立烏來國中小,24.863024,121.554477
178,縣立泰安國中小,24.422212,120.910496
179,市立梨山國中小,24.2515802,121.2532482
180,大同國中,24.5747615,121.4783981
181,市立介壽國中,24.8207867,121.3522112
182,縣立竹東國中,24.7357097,121.0870776
183,縣立員東國中,24.7071298,121.0972723
184,縣立五峰國中,24.6320786,121.119596
185,縣立尖石國中,24.7051821,121.2105623
186,縣立自強國中,24.745167,121.085442
187,市立和平國中,24.1782244,120.8820164
188,南澳高中,24.4655704,121.8003318
189,私立東泰高中,24.7115753,121.0983686
190,私立光復高中,24.7983869,120.9940564
191,羅東高商,24.6730439,121.7576801
192,私立玉山高中,24.2517205,120.8421691
193,滿州國小,22.0202158,120.8384022
194,縣立長樂國小,22.0751909,120.8283323
195,縣立永港國小,22.0060852,120.8172748
196,地磨兒國小,22.7151403,120.654127
197,縣立青山國小,22.8167704,120.6409895
198,口社國小,22.7661081,120.6444883
199,縣立佳義國小,22.6537285,120.6305809
200,北葉國小,22.7092665,120.6498728
201,縣立武潭國小,22.578043,120.634229
202,縣立泰武國小,22.606034,120.610658
203,萬安國小,22.6266502,120.6381624
204,縣立來義國小,22.5274204,120.6489878
205,縣立望嘉國小,22.463106,120.62231
206,文樂國小,22.4929811,120.6237423
207,縣立南和國小,22.4361344,120.6428208
208,縣立古樓國小,22.527769,120.626997
209,縣立春日國小,22.3706354,120.6267213
210,力里國小,22.4277993,120.6268542
211,縣立古華國小,22.3612911,120.6260495
212,縣立楓林國小,22.1995005,120.7065073
213,縣立丹路國小,22.2033133,120.7512782
214,縣立內獅國小,22.3083008,120.6486368
215,縣立草埔國小,22.234862,120.8029919
216,石門國小,22.1256399,120.7729406
217,縣立高士國小,22.1248895,120.8462785
218,牡丹國小,22.1757037,120.8377485
219,縣立賽嘉國小,22.7513545,120.6391345
220,長榮百合國小,22.6980387,120.6429251
221,縣立新園國小,22.7639133,121.0634049
222,縣立大王國小,22.6128487,121.0039909
223,縣立香蘭國小,22.5876369,120.9937299
224,縣立大溪國小,22.4623938,120.9408792
225,縣立尚武國小,22.3403449,120.8888115
226,大武國小,22.3647287,120.90522
227,縣立大鳥國小,22.3834046,120.9112123
228,縣立嘉蘭國小,22.595293,120.961753
229,縣立介達國小,22.605915,120.997143
230,新興國小,22.6312779,121.0035838
231,縣立賓茂國小,22.532519,120.955317
232,安朔國小,22.2940465,120.8680172
233,土?國小,22.453594,120.887349
234,縣立臺?國小,22.4771579,120.9078949
235,縣立滿州國中,22.023894,120.8395766
236,瑪家國中,22.7023304,120.6095023
237,縣立泰武國中,22.591822,120.6328161
238,縣立牡丹國中,22.1273042,120.7752753
239,縣立獅子國中,22.20468,120.687078
240,縣立大王國中,22.615548,121.007607
241,縣立賓茂國中,22.5327778,120.9666667
242,縣立大武國中,22.3646494,120.9076779
243,來義高中,22.525306,120.6293518
244,私立青年高中,24.0869925,120.6934315
245,私立中山工商,22.6006326,120.3933412
246,私立高英工商,22.5946145,120.4018447
247,國立屏東高中,22.6854421,120.48852
248,國立潮州高中,22.5496143,120.5452914
249,國立屏北高中,22.7469314,120.5489314
250,國立內埔農工,22.7097996,120.642737
251,屏東高工,22.6634786,120.4857726
252,國立恆春工商,21.9927976,120.7469146
253,財團法人屏榮高中,22.6735613,120.5030789
254,私立民生家商,22.6583156,120.5145497
255,私立樹德家商,22.6429937,120.3280358
256,信義國小,23.6975623,120.8543587
257,羅娜國小,23.6136184,120.8585076
258,縣立同富國小,23.5944248,120.8884157
259,縣立人和國小,23.7795337,120.8969126
260,縣立地利國小,23.794033,120.9433506
261,縣立東埔國小,23.5619353,120.9276267
262,潭南國小,23.8214884,120.9400121
263,縣立新鄉國小,23.6400176,120.8695668
264,縣立久美國小,23.6158494,120.8844509
265,縣立雙龍國小,23.7854,120.950171
266,縣立豐丘國小,23.6698746,120.8748086
267,縣立法治國小,23.91662,121.046736
268,縣立中正國小,23.9047975,120.9908092
269,縣立萬豐國小,23.9471762,121.0759302
270,市立巴楠花部落小學,22.9648377,120.5395018
271,市立民生國小,23.2773916,120.7206534
272,市立桃源國小,23.1594146,120.764056
273,市立建山國小,23.1052671,120.6825711
274,市立興中國小,23.1299471,120.7184917
275,市立寶山國小,23.0554094,120.7215911
276,市立樟山國小,23.2530045,120.8199761
277,市立那瑪夏區民權國小,23.2560482,120.6924934
278,桃源國小,22.9022408,121.0837578
279,武陵國小,22.9698268,121.1164043
280,縣立鸞山國小,22.8855591,121.160283
281,縣立紅葉國小,22.8935202,121.0637164
282,縣立海端國小,23.098988,121.17644
283,縣立初來國小,23.117132,121.1690702
284,縣立崁頂國小,23.0454477,121.1464823
285,縣立廣原國小,23.1493119,121.2062909
286,縣立錦屏國小,23.1315173,121.17642
287,縣立加拿國小,23.000996,121.130768
288,縣立霧鹿國小,23.1688039,121.0418034
289,縣立瑞北國小,23.5256422,121.3784889
290,縣立大禹國小,23.3795387,121.3287475
291,縣立長良國小,23.2843502,121.2866415
292,馬遠國小,23.5769733,121.3619066
293,卓溪國小,23.3458184,121.3034948
294,縣立崙山國小,23.438375,121.344123
295,縣立太平國小,23.4060792,121.3199808
296,縣立卓清國小,23.278301,121.272734
297,縣立卓樂國小,23.2959935,121.2680514
298,古風國小,23.2180509,121.2558357
299,縣立卓楓國小,23.244063,121.271761
300,縣立民和國中,23.796175,120.9141363
301,縣立信義國中,23.6966795,120.8541704
302,縣立同富國中,23.5936566,120.8885128
303,市立寶來國中,23.1107057,120.7034089
304,市立那瑪夏國中,23.2412038,120.697795
305,市立桃源國中,23.1718267,120.7749945
306,縣立關山國中,23.0451781,121.1597958
307,縣立桃源國中,22.9026384,121.0803706
308,縣立海端國中,23.098988,121.17644
309,縣立玉里國中,23.3353266,121.3129105
310,縣立三民國中,23.4329976,121.3496957
311,縣立富北國中,23.2246835,121.2798008
312,國立仁愛高農,24.0219329,121.132668
313,埔里高工,23.9782159,120.9865383
314,國立關山工商,23.0474501,121.1591946
315,南王國小,22.7893263,121.1138301
316,知本國小,22.706367,121.0544204
317,建和國小,22.7154201,121.0485648
318,賓朗國小,22.8079094,121.0927616
319,利嘉國小,22.776558,121.062103
320,太平國小,22.7911704,121.0763256
321,縣立知本國中,22.7154201,121.0485648
322,縣立初鹿國中,22.8493889,121.0921366
323,市立茂林國小,22.8860015,120.6644768
324,市立多納國小,22.9100499,120.7161216
325,縣立青葉國小,22.8380755,120.6392923
326,霧臺國小,22.7447772,120.7319103
327,大南國小,22.7641509,121.0433657
328,市立茂林國中,22.8849452,120.6639377
329,達邦國小,23.453213,120.7491689
330,十字國小,23.4948044,120.7411932
331,來吉國小,23.5297608,120.7398067
332,山美國小,23.3838773,120.6681625
333,新美國小,23.3372235,120.6832157
334,茶山國小,23.300178,120.666564
335,阿里山國中小,23.4717933,120.7055706
336,東河國小,24.6002778,121.0402778
337,蓬萊國小,24.5431916,120.9707793
338,縣立永興國小,24.5735173,120.9364116
339,縣立南庄國中,24.6045566,121.0008663
340,蘭嶼國小,22.0250514,121.5542323
341,椰油國小,22.0488875,121.5113652
342,東清國小,22.0567659,121.5647201
343,朗島國小,22.0800137,121.527901
344,蘭嶼高中,22.0488875,121.5113652
345,德化國小,23.8485721,120.9354304
346,新社國小,23.6521219,121.5355246
347,縣立新城國小,24.1273921,121.6509438
348,縣立康樂國小,24.0525588,121.6078012
349,縣立北林國小,23.771607,121.468201
350,縣立長橋國小,23.7094652,121.4195202
351,縣立林榮國小,23.8023141,121.4521347
352,秀林國小,24.1181219,121.6247748
353,富世國小,24.147461,121.629103
354,縣立崇德國小,24.149809,121.645914
355,和平國小,24.3080115,121.7486858
356,景美國小,24.0828943,121.6065339
357,三棧國小,24.1027007,121.6061907
358,佳民國小,24.053999,121.59939
359,銅門國小,23.964613,121.493889
360,水源國小,23.964613,121.493889
361,銅蘭國小,23.9476011,121.5067262
362,文蘭國小,23.9216222,121.5013667
363,萬榮國小,23.7155611,121.4107129
364,明利國小,23.7054631,121.4132132
365,見晴國小,23.783286,121.4519549
366,縣立西林國小,23.8112105,121.4405298
367,紅葉國小,23.4944354,121.3457643
368,縣立立山國小,23.4304438,121.3207428
369,西寶國小,24.2065159,121.4824892
370,縣立秀林國中,24.126051,121.6530032
371,縣立新城國中,24.0309653,121.6048343
372,縣立吉安國中,23.9831445,121.5613236
373,縣立平和國中,23.8851069,121.5184199
